institution_id,name,type,state,city,url,accreditation_status,source,last_updated
23,California - Irvine,Law School,California,Irvine,http://www.law.uci.edu,ABA Approved (2011),ABA,2025-12-26 18:45:30
24,California - Los Angeles,Law School,California,Los Angeles,http://www.law.ucla.edu,ABA Approved (1950),ABA,2025-12-26 18:45:30
25,California - San Francisco,Law School,California,San Francisco,http://www.uchastings.edu,ABA Approved (1939),ABA,2025-12-26 18:45:30
26,California Western,Law School,,,http://www.cwsl.edu,ABA Approved (1962),ABA,2025-12-26 18:45:30
27,Campbell,Law School,,,http://law.campbell.edu,ABA Approved (1979),ABA,2025-12-26 18:45:30
28,Capital,Law School,,,http://www.law.capital.edu,ABA Approved (1950),ABA,2025-12-26 18:45:30
29,Case Western Reserve,Law School,,,http://law.case.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
30,Catholic University of America,Law School,,,http://law.edu,ABA Approved (1925),ABA,2025-12-26 18:45:30
31,Chapman,Law School,,,http://www.chapman.edu/law,ABA Approved (1998),ABA,2025-12-26 18:45:30
32,Charleston,Law School,,,http://www.charlestonlaw.edu,ABA Approved (2006),ABA,2025-12-26 18:45:30
33,Chicago,Law School,,,http://www.law.uchicago.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
34,Chicago-Kent,Law School,Chicago,Kent,http://www.kentlaw.edu,ABA Approved (1936),ABA,2025-12-26 18:45:30
35,Cincinnati,Law School,,,http://www.law.uc.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
36,City University of New York,Law School,,,http://www.law.cuny.edu,ABA Approved (1985),ABA,2025-12-26 18:45:30
37,Cleveland State,Law School,,,http://www.law.csuohio.edu,ABA Approved (1957),ABA,2025-12-26 18:45:30
38,Colorado,Law School,,,http://www.colorado.edu/law,ABA Approved (1923),ABA,2025-12-26 18:45:30
39,Columbia,Law School,,,https://www.law.columbia.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
40,Connecticut,Law School,,,http://www.law.uconn.edu,ABA Approved (1933),ABA,2025-12-26 18:45:30
41,Cooley Law School,Law School,,,https://www.cooley.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
42,Cornell,Law School,,,http://www.lawschool.cornell.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
43,Creighton,Law School,,,http://law.creighton.edu,ABA Approved (1924),ABA,2025-12-26 18:45:30
44,Dayton,Law School,,,http://law.udayton.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
45,Denver,Law School,,,http://www.law.du.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
46,Depaul,Law School,,,https://law.depaul.edu/pages/default.aspx,ABA Approved (1925),ABA,2025-12-26 18:45:30
47,Detroit Mercy,Law School,,,https://law.udmercy.edu,ABA Approved (1933),ABA,2025-12-26 18:45:30
48,District of Columbia,Law School,,,https://law.udc.edu,ABA Approved (1991),ABA,2025-12-26 18:45:30
49,Drake,Law School,,,http://www.law.drake.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
50,Drexel,Law School,,,http://www.drexel.edu/law,ABA Approved (2008),ABA,2025-12-26 18:45:30
51,Duke,Law School,,,http://www.law.duke.edu,ABA Approved (1931),ABA,2025-12-26 18:45:30
52,Duquesne,Law School,,,https://www.duq.edu/academics/schools/law,ABA Approved (1960),ABA,2025-12-26 18:45:30
53,Elon,Law School,,,http://www.elon.edu/e-web/law,ABA Approved (2008),ABA,2025-12-26 18:45:30
